model,fold,prec@1,recall@1,prec@5,recall@5,prec@10,recall@10,MRR@1,MRR@5,MRR@10,MAP@1,MAP@5,MAP@10,novelty@1,novelty@5,novelty@10,serendipity@1,serendipity@5,serendipity@10
popular,1.0,0.09721076522746151,0.04718574567812956,0.07033880906696394,0.16049635051203326,0.04596424797011354,0.20351695340058198,0.09721076522746151,0.16827210663368994,0.1767197182705514,0.04718574567812956,0.09101289596331574,0.09854855093179948,2.422734756680196,3.109862946347492,3.7228516031474332,3.128809273125454e-06,3.601347492062375e-06,3.033857470904996e-06
random,1.0,0.00020316362762884234,5.526500747913158e-05,0.00022533687234724872,0.00029340552937588807,0.0002288035896562276,0.0006336979004185832,0.00020316362762884234,0.0004986575596282698,0.0006467823851714255,5.526500747913158e-05,0.00013517277750470667,0.00017896739696040393,15.567096152780849,15.555586104117225,15.557718313025994,7.637364610750775e-06,8.1605732904787e-06,8.174990572396873e-06
